name,writer,translator,nasher,sku,price,pages,year_shamsi,year_miladi,nobat,ghat,jeld,description,category
افسانه هوش مصنوعی,اریک لارسن,امیرحسین فتوحی، ، مریم جامه بزرگ، ، شیدا سرمدی، ، کاوه متمادی،,هورمزد,‫‭978-6225850521‬‬,67150,117.0,1402.0,2023.0,1.0,رقعی,شومیز,"کتاب «با ChatGPT میلیونر شو» نوشته نیل داگر، اثری است که به چگونگی استفاده از فناوری هوش مصنوعی و به خصوص ChatGPT برای دستیابی به موفقیت‌های مالی و کارآفرینی می‌پردازد. این کتاب که در جامعه کسب‌وکار و فناوری با استقبال گسترده‌ای مواجه شده، راهنمای جامع و عملی برای کارآفرینان، فریلنسرها، و هر کسی که می‌خواهد از پتانسیل‌های فناوری هوش مصنوعی در عصر دیجیتال بهره ببرد، محسوب می‌شود.

کتاب با معرفی ChatGPT و توضیح قابلیت‌های آن شروع می‌شود. داگر به خوانندگان نشان می‌دهد که چگونه این ابزار می‌تواند در حل مسائل پیچیده، ایجاد محتوا، برنامه‌ریزی و اتوماسیون کمک کند. همچنین، به بررسی پیشرفت‌های اخیر در زمینه هوش مصنوعی و تأثیر آن‌ها بر زندگی روزمره می‌پردازد.
بخش عمده‌ای از کتاب به چگونگی استفاده از ChatGPT در جهت پیشبرد اهداف کسب‌وکار اختصاص دارد. داگر با ارائه مثال‌هایی واقعی و مطالعات موردی، نشان می‌دهد که چطور می‌توان با استفاده از ChatGPT در زمینه‌هایی مانند بازاریابی دیجیتال، توسعه محصول، خدمات مشتری و حتی مدیریت داخلی به بهبود عملکرد و افزایش درآمد دست یافت.
کتاب همچنین به بررسی راه‌هایی می‌پردازد که فرد می‌تواند با استفاده از هوش مصنوعی در زمینه‌های نوآوری و کارآفرینی گام بردارد. داگر استراتژی‌هایی را ارائه می‌دهد که به خوانندگان کمک می‌کند تا به روش‌های خلاقانه‌تری برای حل مسائل کسب‌وکار و ایجاد فرصت‌های جدید فکر کنند.
نویسنده به اهمیت توسعه مهارت‌های خاص در عصر دیجیتال می‌پردازد. این بخش شامل آموزش‌هایی در زمینه تفکر انتقادی، خلاقیت، و توانایی استفاده بهینه از ابزارهای هوش مصنوعی است. داگر تأکید می‌کند که داشتن این مهارت‌ها برای موفقیت در بازار کار مدرن ضروری است.
کتاب به بررسی مسائل اخلاقی و چالش‌های مربوط به استفاده از هوش مصنوعی می‌پردازد. نویسنده به خوانندگان هشدار می‌دهد که همواره باید از مسئولیت‌های اخلاقی خود در استفاده از این فناوری‌ها آگاه باشند.

«با ChatGPT میلیونر شو» کتابی است که می‌تواند به عنوان یک راهنمای عملی و جامع برای هر کسی که می‌خواهد از فرصت‌های نوین فناوری هوش مصنوعی بهره ببرد، مورد استفاده قرار گیرد.",مالی
واو به واو متدولوژی وایکوف,ربن بیلاهرمسا چاوز,پروانه طاهری نیا،,اندیشه احسان,‫‭978-6227954722,228800,236.0,1402.0,2017.0,1.0,رقعی,شومیز,آیا می‌خواهید کودک خود را به یک نابغه مالی تبدیل کنید تا پول خود را به شیوه‌ای هوشمندانه مدیریت کند؟ والدین با هر میزان درآمد می‌توانند با کمک این کتاب فرزندان خود را از سه تا ۲۳ سالگی برای رسیدن به اصول پایدار مالی آموزش دهند. به طوری که با اجرای گام به گام آن کودکشان بسیار زودتر از همسالان خود نسبت به پول و مسائل مالی به بلوغ فکری برسد.,مالی
اقتصاد خرد (جلد دوم),رابرت اچ. فرانک,نامشخص,دانشگاه علامه طباطبایی,‫‬‮‭978-9642174584,130000,343.0,1402.0,,2.0,وزیری,شومیز,محمدهاشم بت‌شکن (زاده ۱۳۴۶ در اصفهان)، بانکدار، مدیر ارشد اجرایی، متخصص مالی و بانکی، مدیرعامل فعلی بانک توسعه و تجارت اکو و دانشیار گروه مالی و بانکداری دانشگاه علامه طباطبائی می‌باشد. وی پیش از این، از سال ۱۳۸۷ عضو هیئت مدیره بانک اقتصاد نوین، از ۲۳ مهر ۱۳۹۰ تا مهر ۱۳۹۲ مدیر عامل بانک اقتصاد نوین و از مهر ۱۳۹۲ تا دی ۱۳۹۶ مدیر عامل بانک مسکن بوده‌است. همچنین او از دی ۱۳۹۶ تا مهر ۱۴۰۰ مشاور امور بانکی و پولی وزیر راه و شهرسازی بوده‌است. ایشان از شهریور سال ۱۳۹۹ با حکم رئیس کل بانک مرکزی به عضویت هیئت مدیره صندوق ضمانت سپرده‌ها درآمده است.,مالی
اصول حسابداری (جلد اول),عزیز نبوی,نامشخص,دانشگاه علامه طباطبایی,978-9642174379,290000,720.0,1402.0,,2.0,وزیری,شومیز,جعفر باباجانی ، متولد 1326 ، استاد دانشکده  مدیریت و حسابداری ، گروه آموزشی  حسابداری دانشگاه علامه طباطبایی است.,مالی
هنر فروش کسب و کار,جان واریلو,نامشخص,کتاب مهربان,978-6004072861,900000,532.0,1402.0,,2.0,وزیری,شومیز,نامشخص,مالی
استخدامی بانکدار 2,آرمان کهریزی,نامشخص,سامان سنجش,978-6225282865,280000,368.0,1402.0,,2.0,رقعی,شومیز,آرش آپرناک مولف ایرانی متولد سال 1368 می‌باشد.,مالی
توهم رشد,دیوید پیلینگ,نامشخص,نگارستان اندیشه,978-6227754032,212500,302.0,1402.0,,1.0,رقعی,شومیز,جنگ مالی نه افسانه است نه اغراق؛ حداقل برای کشوری چون ایران که در یک دهه گذشته آماج شدیدترین تحریم ها در تاریخ روابط بین الملل بوده است. این جنگ بر «تحریم های مالی» استوار است که به واقع پارادایم نوینی را در سیاست تحریم پدید آورده و همینک به ابزار نخست سیاست خارجی ایالات متحده تبدیل شده است.,مالی
تفسیر و بکارگیری استانداردهای حسابداری ایران - جلد 2,اسماعیل علی نیا,نامشخص,کتاب فرشید,‫‬‭978-6006272580,150000,219.0,1402.0,,2.0,رحلی,شومیز,"در گذشته عموما حسابداری را فن شناسایی، ثبت، طبقه بندی، تلخیص و گزارشگری رویدادهای مالی می دانستند. در سال‌های اخیر با توسعه فن آوری اطلاعات و نگرش سیستمی به سازمان‌ها و مدیریت آن، حسابداری را یک سیستم اطلاعاتی می‌دانند. بر این اساس، حسابداری یک سیستم اطلاعاتی است که اطلاعات مربوط به رویدادهای مالی یک واحد اقتصادی را جمع آوری، تجزیه و تحلیل، اندازه گیری، ثبت، طبقه بندی و تلخیص می‌کند و در نهایت این اطلاعات را در قالب گزارش‌هایی مفهوم پردازش نموده و در اختیار استفاده کنندگان اطلاعات مالی قرار می‌دهد. همچنین حسابداری را می‌توان به عنوان دانشی تعریف کرد که هدف آن ارائه اطلاعات، اساسا اطلاعات مالی، درباره یک واحد اقتصادی و اجزای آن به منظور فراهم کردن امکان قضاوت آگاهانه و اتخاذ تصمیمات منطقی توسط استفاده کنندگان اطلاعات مالی می‌باشد.
(برگرفته از متن کتاب)",مالی
مدیر افسانه ای نیسان کارلوس گوسن,دیوید مگی,هادی خسروپور، ،,طاهریان,‫‬‬‮‭978-6222842932,85000,108.0,1402.0,2002.0,2.0,نامشخص,شومیز,"وظیفه شما به عنوان یک مدیر این نیست که به کارمندان خود هر چیزی را که باید بدانند یاد بدهید بلکه باید بگذارید به شیوه خودشان بیاموزند. به این ترتیب می‌توانید تیمی باهوش و با انگیزه را در کنار خود داشته باشید.
(برگرفته از متن کتاب)",مالی
کودک امروز نابغه اقتصادی فردا,رابرت کیوساکی,نامشخص,طاهریان,978-6006235905,105000,176.0,1402.0,,2.0,رقعی,شومیز,"این کتاب برای کسانی نوشته شده است که داستان آن‌ها و پول داستان جن و بسم‌الله است. اگر مدام در حال کار و فعالیت هستید اما از نظر مالی درجا می‌زنید در این کتاب به طور مفصل نه تنها به دلایل این اتفاق پرداخته‌ام بلکه برای تک‌تک این مسائل راه‌کارهای عملی ارائه کرده‌ام. اگر از لحاظ مالی حداقل یک بار در زندگی خودتان به آخر خط رسیده‌اید همین حالا مطالعه این کتاب را شروع کنید چون تمام اتفاقات این کتاب از زمانی شروع شد که من به خاطر فقر اقدام به خودکشی کردم. خدا را شاکرم که نافرجام بود و از آن بیشتر خدا را شاکرم که مسیر زندگی خوب را به من نشان داد. اینجا قرار نیست شما یک سری مطالب کپی شده یا ترجمه خارجی مطالعه کنید، داستان این کتاب داستان زندگی واقعی است. از فقر و نداری شروع و به پول و ثروت ختم می‌شود. هر چه در این کتاب آمده است نتیجه اتفاقات و تجربیات فردی فقیر بوده که در حال حاضر یک معلم و مدرس ثروت است.
(برگرفته از متن ناشر)",مالی
اقتصاد بازار سرمایه,محمود نجفی نژاد,نامشخص,باوین کتاب,978-6229461792,238000,216.0,,,2.0,وزیری,شومیز,دکتر علی محمدی متولد سال 1355، عضو هیات علمی دانشگاه الزهرا (س)، مدرس و تحلیل گر بازارهای سرمایه می باشد. او دانشیار میکروبیولوژی گروه میکروبیولوژی، دانشکده علوم زیستی دانشگاه الزهراء است.,مالی
از صفر تا تحلیل بنیادی,رویا درخشانی,نامشخص,هورمزد,978-6227251449,104300,297.0,1402.0,,2.0,رقعی,شومیز,بخش زیادی از انحرافاتی که از قوانین و مقررات پیش می­آید ناشی از ناآگاهی مدیران از نحوۀ انجام امور، سهل‌انگاری، قصور و ندانستن عواقب ناشی از انجام‌ندادن وظایف خود بر اساس قانون است. به‌دلیل گستردگی و پراکندگی قوانین و مقررات مالی، آشنایی مدیران با همۀ جوانب آن‌ها و تبعات ناشی از عدم اجرای آن‌ها، در این کتاب تلاش بر این است تا دانش مالی مدیران، شورای مالی مدارس و سایر دست‌اندرکاران افزایش یابد و کسانی که جدیدا به مشاغل مدیریتی و اداری مدارس منصوب می‌شوند، مرجع نسبتا کاملی از اطلاعات مالی مدارس را در اختیار داشته باشند تا ضمن رعایت عدالت، از تضییع حقوق اشخاص و جامعه جلوگیری کنند و از عواقب و آثار ناشی از اجرایی‌نکردن آن‌ها در امان بمانند.,مالی
اسرار ذهن ثروتمند,تی هارو اکر,افشین ابراهیمی،,نسل نواندیش,‫‬‭978-9644126772,149900,104.0,1402.0,1996.0,3.0,رقعی,شومیز,تی. هارو اکر، زاده ی 10 ژوئن 1954، سخنران انگیزشی، تاجر و نویسنده ای کانادایی است. اکر در تورنتو به دنیا آمد. او در نوجوانی به آمریکا رفت و قبل از موفقیت در یک خرده فروشی محصولات ورزشی، کارهای مختلفی را تجربه کرد. اکر پس از ثروتمند شدن از طریق زنجیره ای از فروشگاه های ورزشی و از دست دادن ثروت خود به خاطر ضعف های مدیریتی، به تحلیل استراتژی های مالی و ذهنی ثروتمندان روی آورد و تئوری های شناخته شده ای را در این زمینه مطرح کرد.,مالی
سیستم مدیریت سرمایه معامله گر,بنت مک داول,علی محمد مرادی، ،,آراد,‭978-6001862380‬,315000,236.0,1402.0,2003.0,3.0,وزیری,شومیز,نوآوران محصول در دراز مدت با بهینه سازی سرمایه گذاری R & D خود را با یک استراتژی محصول جدید، انتخاب پروژه های محصول جدید و دستیابی به توازن ایده آل از پروژه های برند، مدیریت پرتفوی برای محصولات جدید به کمک شما می آید تا شما را در درک اینکه چگونه شرکت های برند مدیریت R & D پرتفوی خود را. یاد بگیرید چگونه برای هدایت R & D شرکت سرمایه گذاری خود را برای رسیدن به یک بازگشت بالاتر.,مالی
مرجع کامل و کاربردی متاتریدر,عادل اکبری,نامشخص,دانشگاه علامه طباطبایی,978-964-2172-50-4,160000,308.0,1402.0,,3.0,وزیری,شومیز,عبدالساده نیسی ، متولد 1347 ، دکتری ریاضی کاربردی گرایش مالی دارد و استاد دانشکده آمار، ریاضی و رایانه گروه آموزشی  ریاضی دانشگاه علامه طباطبایی است.,مالی
اصول حسابداری 3,جمشید اسکندری,نامشخص,دانشگاه علامه طباطبایی,978-964-2172-65-8,330000,585.0,1402.0,,3.0,وزیری,شومیز,جعفر باباجانی ، متولد 1326 ، استاد دانشکده  مدیریت و حسابداری ، گروه آموزشی  حسابداری دانشگاه علامه طباطبایی است.,مالی
آرکه‌تایپ برندینگ,کیم بوهم,پرویز درگی، ،,بازاریابی,978-6009250257,333000,395.0,1402.0,2001.0,3.0,وزیری,شومیز,مارک ای پری نویسنده و مدرس امریکایی حوزه بازاریابی می‌باشد.,مالی
تصمیم گیری,استیفن پی رابینز,هادی زندکریمی،,چیمن,978-6226973038,263500,256.0,1402.0,1995.0,2.0,رقعی,شومیز,"جرولد موندیس پدرخوانده افراد کم درآمد است.
- Business Week

""مفیدترین کتاب خودیاری که تا به حال خوانده ام.""
- Whole Earth

""برای هر کسی که می خواهد درآمدش را افزایش دهد خواندنی است.""
- روزنامه وال استریت

در این کتاب درمانگر مالی و نویسنده پرفروش جرولد موندیس یک سیستم انقلابی جدید را ارائه می دهد که دقیقا به شما نشان می دهد چگونه پول بیشتری را وارد زندگی خود کنید - از همین حالا شروع کنید.

مهم نیست کی هستی. یا شرایط شما چگونه است.
تا زمانی که شما بخواهید
گام به گام، این کتاب شما را از طریق این مفاهیم و تکنیک های پیشگامانه به زندگی ای هدایت می کند که در آن به اندازه کافی وجود دارد. بیش از حد کافی و جایی که دیگر نیازی به کسب درآمد کمتر نیست.
و او به شما نشان می‌دهد که چگونه این کار را انسان‌دوستانه انجام دهید - بدون اینکه مجبور باشید 60 ساعت در هفته کار کنید یا مانند یک مدیر کار دیوانه زندگی کنید. چگونه می توان آن را حتی با کمی سهولت و لذت انجام داد.",مالی
چگونه کمتر نگران پول باشیم,جان آرمسترانگ,محمدجواد اشتیاق،,دنیای اقتصاد,978-6004971065,165000,256.0,1402.0,2009.0,2.0,رقعی,شومیز,"از اقتصاددانان مشهور جورج آکرلوف و رابرت شیلر، دلیل نیاز دولت برای بازگرداندن اعتماد به اقتصاد
بحران مالی جهانی به طرز دردناکی آشکار کرده است که نیروهای روانی قدرتمند امروز ثروت ملت ها را به خطر انداخته اند. «روحیات حیوانی» از ایمان کور به افزایش قیمت مسکن تا کاهش شدید اعتماد در بازارهای سرمایه، رویدادهای مالی را در سراسر جهان هدایت می کنند. در این کتاب، اقتصاددانان تحسین شده جورج آکرلوف و رابرت شیلر، خرد اقتصادی را که ما را به این آشفتگی کشانده است، به چالش می کشند و چشم انداز جدید جسورانه ای را مطرح می کنند که اقتصاد را متحول می کند و رونق را باز می گرداند.
آکرلوف و شیلر ضرورت نقش فعال دولت در سیاست گذاری اقتصادی را با بازیابی ایده روحیات حیوانی مورد تاکید قرار می دهند، اصطلاحی که جان مینارد کینز برای توصیف تاریکی و ناامیدی که منجر به رکود بزرگ و روانشناسی در حال تغییر همراه با بهبودی شد، استفاده کرد. مانند کینز، آکرلوف و شیلر می‌دانند که مدیریت این روحیات حیوانی مستلزم دست ثابت دولت است – صرفا اجازه دادن به بازارها برای کار کردن، این کار را نمی‌کند. در بازسازی پرونده ای با کینزییسمی قوی تر و آگاهانه از نظر رفتاری، آنها فراگیرترین تأثیرات روحیات حیوانی در زندگی اقتصادی معاصر را شرح می دهند - مانند اعتماد، ترس، سوء نیت، فساد، نگرانی برای انصاف، و داستان هایی که به خودمان می گوییم. و نیز نشان می دهند که چگونه ریگانومیکس، تاچریسم، و انقلاب انتظارات منطقی نتوانسته اند آنها را توضیح دهند.
روحیات حیوانی یک نقشه راه برای معکوس کردن بدبختی های مالی ارائه می دهد که امروزه ما را فرا گرفته است.",مالی
توهم رشد,دیوید پیلینگ,گیسو ناصری،,راه طلایی,978-6229818213,54000,104.0,1402.0,2018.0,2.0,رقعی,شومیز,4 مرحله ایجاد ثروت بلیط شما برای دستیابی به آزادی مالی قبل از ترک شغل روزانه است.,مالی
تاریخ فلسفه چین,وینبرگ چای,یاسین قاسمی بجد،,پل,978-9642333585,59500,51.0,1402.0,2021.0,2.0,رقعی,شومیز,"احتمالا نام فنگ‌شویی را شنیده‌اید. می‌توان آن را نوعی هارمونی با محیط طبیعی به حساب آورد. اگر فضایی که ما در آن زندگی و کار می‌کنیم با طبیعت در تعادل باشد، شرایط برای ایجاد رفاه به بهترین نحو ممکن فراهم می‌شود. جذب ثروت یکی از مهم‌ترین عنصرهای فنگ‌شویی است. رنان سوزا (Renan Souza) در کتاب فنگ شویی برای پول (Feng Shui for Money) به ما می‌آموزد چگونه با ایجاد چند تغییر کوچک، اصولی و کم‌هزینه محیطی مطلوب را برای خودمان رقم بزنیم و سپس از ثمراتی که فنگ‌شویی برایمان پدید می‌آورد بهره‌مند شویم.
این روزها همه به پول و ثروت در کنار موفقیت شغلی، حس خوشبختی و رابطه عاشقانه نیاز دارند. خیلی‌ها به دنبال کمال‌اند اما نمی‌توانند به آن دست یابند. فنگ‌شویی به آن‌ها کمک می‌کند تا آنچه را می‌خواهند بیابند. در این کتاب ترفندهایی وجود دارد که در واقع حامی شما در امور مالی هستند. فنگ‌شویی توصیه‌های فراوانی برای ما دارد و می‌تواند بر قسمت‌های مختلفی از زندگی، از عشق گرفته تا ثروت و روابط تاثیرگذار باشد. چه چیزی بهتر از این که نکات این هنر باستانی و ارزشمند در کتابی کم‌حجم و تاثیرگذار گردآوری شده باشد؟
کتاب حاضر از کلیشه‌های رایج کتاب‌های از این دست به دور است و نویسنده به ما نشان می‌دهد چگونه این اصل می‌تواند زندگی ما را زیر و رو کند. راهکارهای عملی او برای همه‌ی افراد قابل اجرا هستند. با مطالعه‌ی این اثر ابتدا با فنگ‌شویی آشنا می‌شوید، فلسفه‌ی آن را درک می‌کنید و سپس نویسنده نکاتی را برای دعوت و جذب ثروت به خانه‌هایتان بیان می‌کند. نثر نویسنده به‌قدری روان و شیواست که به محض آن که کتاب را در دست می‌گیرید، نمی‌توانید آن را کنار بگذارید. همه آرزوی زندگی استوار و موفق را دارند. بنابراین تعلل نکنید. گوشه‌ای بنشینید و شروع به خواندن این کتاب کنید.",مالی
می گیرد و پس نمی دهد,داینا کین بلوتنتال,سودابه فرخنده،,قدیانی,978-6000804305,76500,36.0,1402.0,1986.0,3.0,خشتی,شومیز,همین که گوسفندان بخواهند برای دوستشان جشن تولد بگیرند و برای او هدیه ای بخرند، شگفت انگیز و جالب است. ماجرا زمانی جالب تر می شود که در فروشگاه پول کم می آورند و می خواهند مشکل را به روشی حل کنند که فقط یک گوسفند می تواند و...,مالی
قانون اساسی جمهوری اسلامی ایران و تفاسیر شورای نگهبان,حامد علیزاده اقدم,نامشخص,گیوا,‫‬‮‭978-6223660122,113490,97.0,1402.0,,3.0,رقعی,شومیز,قانون صدور چک با آخرین اصلاحات به همراه آراء وحدت رویه و نظریات مشورتی مرتبط.,مالی
بهترین ها (دفاع شخصی),مجموعه ی نویسندگان,غلامرضا لایقی،,اطلاع,978-6006231112,49000,48.0,1402.0,,3.0,خشتی,شومیز,"«بهترین‌ها» گزیده‌ای از مطالب چاپ شده با موضوعات مختلف است که از روزنامه‌ها و مجلات علمی دنیا انتخاب و عرضه شده است. این جلد با نام «مدیریت پول» اختصاص به گزیده‌هایی درباره نحوه مدیریت بهینه مالی دارد.
(برگرفته از متن ناشر)",مالی
116 سوال پولساز از پدر پولدار,ابوالفضل طاهریان ریزی,سمانه فلاح، ، سکینه خزائی، ، سید امین مجابی،,طاهریان,978-6006235431,187000,408.0,1402.0,2012.0,3.0,رقعی,شومیز,"کتاب «چهار راه پولسازی» اثر رابرت کیوساکی، کارآفرین و سرمایه‌گذار مشهور آمریکایی، راهنمایی عملی برای درک و دستیابی به استقلال مالی است. در این کتاب، کیوساکی چهار روش اصلی کسب درآمد را در قالب یک چهار‌ راه معرفی می‌کند و ویژگی‌ها، مزایا و معایب هر یک را بررسی می‌نماید.
چهار ضلع این چهار‌ راه عبارتند از:
1. کارمند (E): افرادی که برای دیگران کار می‌کنند و درآمد محدودی دارند؛
2. خویش‌فرما (S): افرادی که برای خود کار می‌کنند اما اغلب وابسته به مهارت‌ها و زمان خود هستند؛
3. صاحب کسب‌وکار (B): کسانی که سیستمی را برای درآمدزایی ایجاد کرده‌اند و افراد دیگر برایشان کار می‌کنند؛
4. سرمایه‌گذار (I): افرادی که پول، برایشان پول می‌سازد و درآمد غیرفعال دارند.
کیوساکی استدلال می‌کند که برای رسیدن به ثروت و آزادی مالی واقعی، باید از ضلع‌های E و S به ضلع‌های B و I حرکت کرد. او توضیح می‌دهد که چگونه می‌توان با سرمایه‌گذاری هوشمندانه بر روی دارایی‌ها، ایجاد کسب‌وکارهای مولد و کسب درآمدهای غیرفعال، جریان نقدینگی پایداری ایجاد نمود.
نویسنده همچنین به تفاوت طرز تفکر «پدر پولدار» و «پدر فقیر» خود اشاره می‌کند و بر اهمیت آموزش مالی، مدیریت ریسک، تفکر کارآفرینانه و سرمایه‌گذاری بلندمدت تأکید می‌ورزد.
در بخشی از کتاب، کیوساکی به اهمیت سواد مالی و درک مفاهیمی چون دارایی، بدهی، جریان نقدینگی و بازده سرمایه‌گذاری می‌پردازد. او بر این باور است که بدون درک عمیق این مفاهیم، موفقیت مالی پایدار دست‌یافتنی نخواهد بود.
کتاب «چهار راه پولسازی»، منبعی ارزشمند برای هر‌کسی است که به‌دنبال کسب استقلال مالی، ایجاد ثروت بلندمدت و رهایی از تله‌های مختلف اقتصادی است. با ارائه‌ی مفاهیم عمیق در قالبی ساده و روان، به همراه مثال‌های عملی و الهام‌بخش، این کتاب می‌تواند نقطه شروعی برای تغییر نگرش به پول و دستیابی به زندگی مالی بهتر باشد.",مالی
قصه های قلک,علی باباجانی,گلیا پویان راد،,قطره,978-6222019471,127500,244.0,1402.0,2017.0,3.0,رقعی,شومیز,"بسیاری از ما فکر می‌کنیم که وقتی بچه‌هایمان به اندازه کافی بزرگ هستند تازه می‌توانیم با آنها درباره پول صحبت هاییی را داشته باشیم... اما شما این را باید بدانید که: تحقیقات نشان می دهد که حتی کودکان پیش دبستانی نیز می توانند مفاهیم اساسی پول را درک کنند و مطالعه ای از دانشگاه کمبریج تأیید کرد که عادات اولیه پول و مراودات مالی در سن هفت سالگی شکل می گیرد. تحقیقات نشان می دهد که بیشترین تأثیر شماره یک بر رفتارهای مالی بچه ها را مادر و پدر هایشان دارند.

کتاب سواد مالی برای کودکان (راهنمای آموزش مالی برای والدین فرزندان 3تا23 سال) یک راهنمای گام به گام است که به والدین با هر سطح درآمدی کمک می کند تا به فرزندان خود - از سنین سه تا بیست و سه - در مورد پول آموزش دهند. به نظر می رسد که کلید جذب یک نابغه پول، آموزش این نیست که چهار چهارم برابر با یک دلار است یا اینکه چگونه یک سهام را انتخاب کنید. در عوض، این در مورد القای ارزش‌هایی است که ثابت شده است افراد را موفق می‌کند – نه فقط از نظر مالی، بلکه در زندگی.
برای اینکه فرزندتان را به یک نابغه پول تبدیل کنید نیازی نیست که یک نابغه پول باشید. صرف نظر از سطح آسایش شما در امور مالی - یا درآمد خانواده‌تان - این کتاب جذاب و سرگرم‌کننده یک راهنمای ضروری برای گذراندن اصول پایدار مالی است، و بچه‌های شما را فراتر از سال‌هایشان - و همسالانتان - در مورد پول آگاه می‌کند.",مالی
منحنی رشد استارتاپی,هوارد لاو,حمیدرضا ارباب،,نشر نی,978-9641854364,408000,526.0,1402.0,1996.0,4.0,وزیری,شومیز,اقتصاد مدیریت را اقتصاد خرد کاربردی می‌نامیم. با چنین نگرشی کتاب به چهار بخش تقسیم شده است. در بخش اول موضوع اقتصاد مدیریت، نظریه‌ی بنگاه و روش‌های بهینه‌سازی ارائه شده است. در بخش دوم تحلیل تقاضا شامل تابع تقاضا، تخمین و پیش‌بینی تقاضا بررسی شده است. موضوع بخش سوم نظریه‌ی تولید و هزینه‌هاست و در بخش پایانی کتاب، ساختار بازار، نظریه‌ی بازی‌ها، قیمت‌گذاری در عمل و تجزیه و تحلیل ریسک را ملاحظه می‌کنید. اقتصاد مدیریت یک کتاب مناسب درسی در سطوح کارشناسی و کارشناسی ارشد رشته‌های اقتصاد و مدیریت اجرایی، بازرگانی و مالی و سایر رشته‌های مرتبط است.,مالی
بازار دارایی ها در دهه 90 شمسی,مجموعه ی نویسندگان,فهیمه صدیق عابدینی،,راه طلایی,978-6229818244,123750,208.0,1402.0,1989.0,3.0,رقعی,شومیز,اگر خردمند هستید و رویای زیبای ثروت یک شبه را در سر نمی پرورانید، اگر در جستجوی راهکارهای کاربردی و ساده برای دست یابی به ثروت هستید، و اگر مایلید در این راه از خرد نسل ها و ملت های دیگر، به ویژه از دانش و تجربه ی فردی چون بنجامین فرانکلین، یکی از پدران بنیان گذار آمریکای نوین بهره بگیرید.,مالی
تصمیم گیری,استیفن پی رابینز,حمید مشهدی رضا،,نشر کتاب پارسه,978-6002535931,212500,212.0,1402.0,1993.0,3.0,رقعی,شومیز,ناپلئون هیل چهره شناخته شده ادبیات موفقیت است. او پس از مصاحبه با افرادی چون توماس ادیسون، الکساندر گراهام بل، هنری فورد و ... ، راز موفقیت این گونه افراد را شنید و بر این اساس کتاب هایی نوشت که میلیون ها خواننده در سراسر دنیا لب به تحسینش گشودند. 52 مقاله ای که در این کتاب آمده، هر یک مختص هفته ای از سال است. این مقالات ساده ولی چالش برانگیزند و به شما در یافتن راه حل ها یاری می رسانند. کتاب را «52 پله تا ثروتمند شدن» نامیده اند، چون هر پله، راهی است به سوی منفعت و سود شما.,مالی
بازاریابی و فروش تلفنی با نگرش بازار ایران,پرویز درگی,نامشخص,بازاریابی,978-6006982045,171000,308.0,1402.0,,5.0,رقعی,شومیز,پرویز درگی متولد تابستان 1345ویزیتور دیروز و معلم امروز بازاریابی ایران است. وی مدرس دانشگاه در مقطع کارشناسی ارشد در دانشگاه صنعتی امیر کبیر، دانشکده مهندسی صنایع دانشگاه تهران و سازمان مدیریت صنعتی است. مدیر مسئول آموزشگاه بازارسازان ، مدیر مسئول انتشارات بازاریابی و مجلات توسعه مهندسی بازار و بازاریاب بازارساز است. ایشان مدیرعامل گره TMBA و همچنین نویسنده نزدیک به 50 کتاب در حوزه ی بازاریابی، عضو هیئت مدیره انجمن علمی بازاریابی و نایب رئیس انجمن علمی مدیریت اجرایی ایران، رئیس کمیته استاندارد سازی تحقیقات بازاریابی کشور می باشد. او مشاور بنگاههای اقتصادی بزرگ ایران است.,مالی
توسعه اقتصادی و برنامه ریزی,یگانه موسوی جهرمی,نامشخص,سخنوران,‫‬‮‭978-6222152147,48000,120.0,1402.0,,5.0,جیبی,شومیز,سمیرا مرادی نویسنده ایرانی متولد سال 1363 می‌باشد.,مالی
سواد مالی برای کودکان,بث کوبلینر,نامشخص,مهرستان,978-6008441779,76500,132.0,1402.0,2020.0,4.0,رقعی,شومیز,"دانستنی هایی درباره سواد مالی
در کتاب قصه های قلک، نویسنده سعی کرده با استفاده از زبان قصه، برخی موضوعات مربوط به سواد مالی برای کودکان بیان شود.
کتاب قصه های قلک به موضوعاتی همچون قرض‌گرفتن پول، پس‌اندازکردن آن، جورکردن پول برای خرید چیزی، شیوه‌های به‌دست‌آوردن پول و موضوعاتی از این دست برای نوجوانان و با زبانی صمیمانه و خودمانی پرداخته است.
موضوع: سواد مالی- آموزش مسائل اقتصادی همچون قرض‌گرفتن پول، پس‌اندازکردن آن، جمع‌آوری‌کردن پول برای خرید چیزی، شیوه‌های به‌دست‌آوردن پول و...
(برگرفته از متن ناشر)",مالی
